TIMESTAMP,sap_flow,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,ppfd_in,vpd,ext_rad,latitude,longitude,elevation,mean_annual_temp,mean_annual_precip,stand_age,basal_area,tree_density,stand_height,leaf_area_index,soil_depth,n_trees,pl_age,pl_dbh,pl_height,pl_leaf_area,pl_bark_thick,pl_sapw_area,pl_sapw_depth,latitude_abs,aridity_index,leaf_habit_code,biome_code,igbp_code,social_status_code,sapwood_leaf_ratio,tree_volume_index,koppen_geiger_code_encoded,igbp_class_code,soil_texture_code,terrain_code,growth_condition_code,pl_social_code,tree_size_class_code,tree_age_class_code,species_functional_group_code,swc_shallow,clay_percentage,sand_percentage,silt_percentage
2008-09-08 21:30:00+00:00,4.68,2008-09-09 07:21:18+00:00,,,,,,,,303.46093513238174,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 22:00:00+00:00,6.96,2008-09-09 07:51:18+00:00,,,,,,,,428.4869481572941,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 22:30:00+00:00,7.91,2008-09-09 08:21:18+00:00,,,,,,,,544.9128614808865,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 23:00:00+00:00,8.49,2008-09-09 08:51:18+00:00,,,,,,,,650.7456326660212,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 23:30:00+00:00,9.15,2008-09-09 09:21:18+00:00,,,,,,,,744.1735580617296,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-09 00:00:00+00:00,9.39,2008-09-09 09:51:18+00:00,,,,,,,,823.5972865725101,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-09 00:30:00+00:00,11.4,2008-09-09 10:21:18+00:00,,,,,,,,887.657198270912,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-09 01:00:00+00:00,12.35,2008-09-09 10:51:18+00:00,,,,,,,,935.2566791697254,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-09 01:30:00+00:00,14.46,2008-09-09 11:21:18+00:00,,,,,,,,965.5808937220108,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-09 02:00:00+00:00,15.49,2008-09-09 11:51:18+00:00,,,,,,,,978.1107336893806,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
