site_code,duration_days,total_records,start_date,end_date,sampling_freq_min,modeling_score,critical_env_coverage,env_vars_present,country,biome,elevation
USA_SIL_OAK_POS,208.31,10000,2011-01-01T05:00:00+00:00,2011-07-28T12:30:00+00:00,30.0,94.2,1.0,5,USA,Temperate forest,33.0
USA_UMB_GIR,208.31,10000,2010-01-01T05:00:00+00:00,2010-07-28T12:30:00+00:00,30.0,93.0,1.0,5,USA,Temperate forest,239.0
USA_SYL_HL2,208.31,10000,2015-01-01T05:00:00+00:00,2015-07-28T12:30:00+00:00,30.0,92.4,1.0,5,USA,Temperate forest,500.0
USA_SIL_OAK_1PR,208.31,10000,2005-01-01T05:30:00+00:00,2005-07-28T13:00:00+00:00,30.0,92.4,1.0,5,USA,Temperate forest,33.0
USA_PAR_FER,208.31,10000,2007-01-01T05:30:00+00:00,2007-07-28T13:00:00+00:00,30.0,93.5,1.0,5,USA,Temperate forest,5.2
USA_DUK_HAR,208.31,10000,2002-01-01T05:00:00+00:00,2002-07-28T12:30:00+00:00,30.0,93.2,1.0,5,USA,Temperate forest,163.0
ZAF_FRA_FRA,216.04,10000,2015-02-02T22:00:01+00:00,2015-09-06T23:00:00+00:00,59.6,85.4,1.0,5,ZAF,Woodland/Shrubland,190.0
IDN_JAM_RUB,223.96,5376,2013-06-12T17:00:00+00:00,2014-01-22T16:00:00+00:00,60.0,94.2,1.0,5,IDN,Tropical rain forest,90.0
PRT_LEZ_ARN,248.29,10000,2007-01-31T01:00:00+00:00,2007-10-06T08:00:29+00:00,59.8,87.2,1.0,5,PRT,Woodland/Shrubland,15.0
GBR_DEV_CON,250.96,6024,1995-03-31T01:00:00+00:00,1995-12-07T00:00:00+00:00,60.0,95.4,1.0,5,GBR,Woodland/Shrubland,75.0
GBR_DEV_DRO,250.96,6024,1995-03-31T01:00:00+00:00,1995-12-07T00:00:00+00:00,60.0,95.4,1.0,5,GBR,Woodland/Shrubland,75.0
USA_HIL_HF1_POS,261.49,10000,2010-06-17T04:00:00+00:00,2011-03-05T15:50:00+00:00,60.0,81.1,1.0,5,USA,Temperate forest,174.0
DEU_STE_2P3,267.83,10000,2001-12-31T23:00:00+00:00,2002-09-25T18:59:59+00:00,60.0,89.9,1.0,5,DEU,Woodland/Shrubland,78.0
ZAF_RAD,273.96,6576,2015-09-30T22:00:00+00:00,2016-06-30T21:00:00+00:00,60.0,96.7,1.0,5,ZAF,Woodland/Shrubland,409.0
ZAF_SOU_SOU,273.96,6576,2015-09-30T22:00:00+00:00,2016-06-30T21:00:00+00:00,60.0,96.7,1.0,5,ZAF,Woodland/Shrubland,389.0
ZAF_WEL_SOR,359.96,8640,2013-11-16T22:00:31+00:00,2014-11-11T21:00:21+00:00,60.0,98.6,1.0,5,ZAF,Tropical forest savanna,81.0
DEU_STE_4P5,416.62,10000,2003-12-31T23:00:00+00:00,2005-02-20T14:00:00+00:00,60.0,99.9,1.0,5,DEU,Woodland/Shrubland,78.0
DEU_HIN_OAK,416.62,10000,2011-12-31T23:00:00+00:00,2013-02-20T14:00:00+00:00,60.0,99.7,1.0,5,DEU,Woodland/Shrubland,90.0
DEU_HIN_TER,416.62,10000,2011-12-31T23:00:00+00:00,2013-02-20T14:00:00+00:00,60.0,99.7,1.0,5,DEU,Woodland/Shrubland,95.0
SEN_SOU_PRE,416.62,10000,1996-02-29T00:00:00+00:00,1997-04-20T15:00:00+00:00,60.0,95.7,1.0,5,SEN,Subtropical desert,10.0
MEX_COR_YP,416.62,10000,2008-11-17T20:00:00+00:00,2010-01-08T11:00:00+00:00,60.0,100.0,1.0,5,MEX,Temperate forest,2180.0
PRT_MIT,416.63,10000,2001-01-01T01:00:00+00:00,2002-02-21T16:00:50+00:00,60.0,99.8,1.0,5,PRT,Woodland/Shrubland,235.0
SEN_SOU_POS,416.63,10000,1998-09-30T23:59:59+00:00,1999-11-21T15:00:00+00:00,60.0,96.0,1.0,5,SEN,Subtropical desert,10.0
ZAF_NOO_E3_IRR,416.63,10000,2008-05-15T22:00:00+00:00,2009-07-06T13:00:03+00:00,60.0,100.0,1.0,5,ZAF,Woodland/Shrubland,1089.0
USA_INM,418.75,10000,1998-04-08T01:00:00+00:00,1999-05-31T19:00:00+00:00,60.0,98.0,1.0,5,USA,Temperate forest,286.0
USA_TNB,419.83,10000,1998-05-28T12:00:00+00:00,1999-07-22T08:00:00+00:00,60.0,99.9,1.0,5,USA,Temperate forest,454.0
USA_TNO,420.83,10000,1998-03-31T14:00:00+00:00,1999-05-26T10:00:00+00:00,60.0,98.4,1.0,5,USA,Temperate forest,340.0
USA_TNP,431.08,10000,1998-02-28T05:00:00+00:00,1999-05-05T07:00:00+00:00,60.0,99.4,1.0,5,USA,Temperate forest,342.0
FIN_HYY_SME,434.71,10000,2012-12-31T23:30:00+00:00,2014-03-11T16:30:00+00:00,60.0,98.8,1.0,5,FIN,Temperate forest,185.0
USA_TNY,440.17,10000,1998-05-15T14:00:00+00:00,1999-07-29T18:00:00+00:00,60.0,98.2,1.0,5,USA,Temperate forest,850.0
USA_WVF,450.58,10000,1998-03-25T15:00:00+00:00,1999-06-19T05:00:00+00:00,60.0,99.4,1.0,5,USA,Temperate forest,844.0
USA_MOR_SF,792.96,4464,2011-07-01T05:00:00+00:00,2013-09-01T04:00:00+00:00,60.0,91.9,0.6,3,USA,Temperate forest,275.0
