site,cluster,cluster_method,longitude,latitude,latitude_abs,mean_annual_temp,mean_annual_precip,aridity_index,elevation,seasonal_temp_range,seasonal_precip_range,temp_precip_ratio,seasonality_index,climate_continentality,elevation_latitude_ratio,aridity_seasonality,temp_elevation_ratio,precip_latitude_ratio,tree_volume_index,stand_age,n_trees,tree_density,basal_area,stand_height,tree_size_class_code,sapwood_leaf_ratio,pl_dbh,pl_age,pl_height,pl_leaf_area,pl_sapw_depth,pl_sapw_area,climate_zone_code_0,climate_zone_code_1,climate_zone_code_2,biome_code_11.0,biome_code_15.0,igbp_class_code_1,igbp_class_code_2,igbp_class_code_3,igbp_class_code_4,igbp_class_code_5,igbp_class_code_8,igbp_class_code_9,igbp_class_code_11,leaf_habit_code_1.0,leaf_habit_code_3.0,soil_texture_code_1.0,soil_texture_code_2.0,soil_texture_code_3.0,soil_texture_code_4.0,soil_texture_code_6.0,soil_texture_code_7.0,soil_texture_code_8.0,soil_texture_code_9.0,soil_texture_code_12.0,terrain_code_1.0,terrain_code_2.0,species_functional_group_code_0,species_functional_group_code_1,species_functional_group_code_2,species_functional_group_code_3,species_functional_group_code_4,koppen_geiger_code_encoded_0
AUT_PAT_TRE,0,kmeans_minmax_3,11.45194444,47.21027778,47.21027778,1.8686732673635589,1258.8781447324286,106.0673014054644,2110.0,4.791201445780811,0.02708883025505717,0.0014832174644639348,0.9741354780106173,0.09938132834755078,43.7666011722366,103.32392135590828,15.583673267363558,26.11223586964424,2000.0,50.0,3,687.0,22.47,4.0,1.0,1.9696969398530768,20.0,49.0,5.0,66.0,2.0,130.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
AUT_TSC,0,kmeans_minmax_3,10.83888888888889,47.23333333333333,47.23333333333333,8.512877141121,694.3816641424069,37.50803610099258,750.0,10.60136551724138,0.01103448275862069,0.012242021295772407,0.168148069961467,0.2197933417534495,15.549412577747065,6.30690387842693,13.387877141121,14.396302642897172,3136.0,150.0,6,600.0,21.8,4.5,1.0,6.8631082525396465,28.0,150.0,4.0,8.3,2.0,241.0,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
BRA_CAM,1,kmeans_minmax_3,-45.52,-22.69,22.69,15.676624187855452,1811.4637410083792,70.54913947235971,2000.0,11.68908257911752,0.02405193736923077,0.00864934499552175,0.7909829234009801,0.3033634205666655,84.42380751371887,23.334517635185257,28.676624187855452,76.46533309448624,1312.2,46.15,5,687.0,22.47,12.0,1.0,6.8631082525396465,16.2,40.0,5.0,8.3,3.5,55.49715756458008,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
BRA_SAN,1,kmeans_minmax_3,-45.1833333333333,-23.2833333333333,23.2833333333333,17.66846184905394,1520.4270035396785,54.95162730166968,1000.0,7.677305022444289,0.09023684210526317,0.011613085483527867,0.5405002385267881,0.3161553200732038,41.180507892930734,29.70136766398762,24.16846184905394,62.61195621989076,1617.5051999999996,1.0,3,1723.0,77.67,25.0,1.0,7.531643662875021,11.61,40.0,12.0,3.95,3.5,29.75,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
CAN_TUR_P39_PRE,0,kmeans_minmax_3,-80.3574,42.7097777778,42.7097777778,9.0,1000.3439889558788,52.64968362925678,184.0,28.621968154229844,0.020688918286353924,0.008987920334334336,2.646091261223501,0.6548184321533388,4.209584430636314,139.31586775755838,10.196,22.886046093420063,8062.6770000000015,74.0,21,421.0,36.0,23.4,2.0,6.8631082525396465,43.3219755,71.0,13.0,8.3,2.8103374883571,357.6746443,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
CHE_DAV_SEE,0,kmeans_minmax_3,9.856198,46.81668,46.81668,3.835492337507554,840.0492344086587,60.716974424633484,1650.0,20.618373542171373,0.025169045830202855,0.004560366005450664,1.4379696757804665,0.43119625917506976,34.50678717133854,87.30916802776109,14.560492337507554,17.568121300112402,40000.0,240.0,5,830.0,22.47,28.0,2.0,6.8631082525396465,40.0,40.0,25.0,8.3,5.0,520.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True
CHE_PFY_CON,0,kmeans_minmax_3,7.6,46.3,46.3,9.81176362311098,593.9425325608931,29.979286239214083,615.0,19.329993217789525,0.03286118980169971,0.016491951887986314,1.2437895837187911,0.408667932722823,13.002114164904864,37.28792395165857,13.80926362311098,12.556924578454401,8062.6770000000015,100.0,9,730.0,27.3,10.0,1.0,14.874998140625234,19.5,40.0,13.0,8.0,3.6,119.0,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
CHE_PFY_IRR,0,kmeans_minmax_3,7.6,46.3,46.3,9.81176362311098,593.9425325608931,29.979286239214083,615.0,14.018216071257687,0.05844748858447489,0.016491951887986314,0.4512310807506896,0.2963682044663359,13.002114164904864,13.527585729854847,13.80926362311098,12.556924578454401,8062.6770000000015,100.0,8,730.0,27.3,10.0,1.0,9.499999604166682,23.9,40.0,13.0,24.0,5.0,228.0,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
CHN_ARG_GWD,2,kmeans_minmax_3,89.98555556,40.75416667,40.75416667,12.8,8.0,0.3508771929824561,830.0,9.981378155083352,0.0027397260273972603,1.4222222222222223,0.23194518441009165,0.23905106845911225,19.878255661520548,0.0813842752316111,18.195,0.19159764493031853,5136.975,84.3,2,59.0,5.8,4.4,1.0,6.8631082525396465,25.5,100.0,7.9,8.3,1.1,66.38,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
CHN_ARG_GWS,2,kmeans_minmax_3,89.93833333,41.38166667,41.38166667,8.1,14.000000000000002,0.7734806629834254,830.0,9.954964367244205,0.00372514472690662,0.5399999999999999,0.2348302071593077,0.23488845884135223,19.58393959498337,0.18163662432211644,13.495,0.3303315112406834,16926.236249999998,56.8,2,166.0,15.9,7.9,2.0,6.8631082525396465,40.15,80.0,10.5,8.3,1.5,182.13,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
CHN_HOR_AFF,0,kmeans_minmax_3,122.36666666666666,42.71666666666667,42.71666666666667,7.7,521.6497768156635,29.47173880314483,226.5,16.17122629740519,0.03503184713375796,0.014732618938275679,0.7704154048809805,0.36990986574316104,5.1810903545558515,22.705481582571327,9.17225,11.93251491000374,5151.8207999999995,37.0,16,400.0,21.18,9.05,1.0,6.8631082525396465,20.72,37.0,12.0,8.3,3.5,260.3580973385647,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
CHN_YIN_ST1,2,kmeans_minmax_3,85.71666667,42.45444444,42.45444444,-0.7193354045036453,138.86396142702188,14.962717378495572,900.0,2.5384500067636644,0.0,-0.005143107610883592,1.313421392934958,0.05841634933956284,20.71134521677479,19.652353101355757,5.130664595496354,3.195621603648832,7913.565,60.0,5,467.0,18.7,10.6,1.0,6.8631082525396465,21.9,52.0,16.5,8.3,3.7,211.55,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
CHN_YIN_ST2_DRO,2,kmeans_minmax_3,85.13111111,42.11444444,42.11444444,4.231192256250621,100.12496653899836,7.035599318463392,930.0,2.498211219301087,0.0,0.04184122280642616,1.3194716820948509,0.057943718207426054,21.570497128734427,9.283274067278278,10.27619225625062,2.3223067776818223,9990.675000000001,81.5,2,378.0,15.7,7.6,1.0,6.8631082525396465,28.5,110.0,12.3,8.3,3.1,247.37,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
CHN_YIN_ST3_DRO,2,kmeans_minmax_3,85.98833333,42.28833333,42.28833333,8.600000000000001,108.10316062203265,5.811997882904981,930.0,2.5926695739783128,0.0,0.07882448089467436,1.3052695336078717,0.05989303293831185,21.483848613674496,7.586223765949322,14.645000000000001,2.497281653186546,9172.86,122.5,3,67.0,13.3,5.2,2.0,6.8631082525396465,39.1,80.0,6.0,8.3,1.2,142.88,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
CHN_YUN_YUN,0,kmeans_minmax_3,117.4180278,23.92071944,23.92071944,22.468112232836067,1133.9431384619877,34.924825020014374,0.0,16.442017783889504,0.04415744157441574,0.01979668537692876,0.8102624543960995,0.6597729982665984,0.0,28.29827444007115,22.468112232836067,45.5020225717042,406.78,50.0,8,6228.0,45.98,5.0,0.0,6.8631082525396465,8.6,40.0,5.5,8.3,3.5,55.39,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
CRI_TAM_TOW,1,kmeans_minmax_3,-84.62583333333333,10.386944444444444,10.386944444444444,22.97295965992198,3625.909579575401,109.96615459978337,600.0,2.951542541235927,24.51385340857054,0.006334031537287842,8.128170615688402,0.2592040872453672,52.69192301124583,893.8236665382072,26.872959659921978,318.4269140212096,55162.08,46.15,2,687.0,73.0,30.6,2.0,6.8631082525396465,45.2,40.0,27.0,8.3,8.7,997.6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
CZE_LIZ_LES,0,kmeans_minmax_3,13.67975,49.06668,49.06668,6.030012700734641,837.0527287696275,52.21784563721937,858.0,18.163253581206206,0.023070837600346013,0.007195266471582879,1.0689211144297004,0.3627812665270836,17.137145902224795,55.8167577516546,11.607012700734641,16.718758439138117,47044.8,80.0,6,450.0,55.7,28.0,2.0,5.679088149860375,39.6,75.0,30.0,100.9,6.0,573.02,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
ESP_MAJ_MAI,2,kmeans_minmax_3,-5.773361111,39.9415,39.9415,16.9,888.4803149977798,33.029007992482526,260.0,22.893363246677318,0.021960784313725487,0.018999858361162473,1.7810006793234447,0.5591725571040953,6.350524528900993,58.82468567199086,18.59,21.7012155147657,15654.408699999998,150.0,6,22.0,3.25,7.0,2.0,6.8631082525396465,47.29,150.0,7.0,8.3,3.5,319.3253,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True
ESP_MAJ_NOR_LM1,2,kmeans_minmax_3,-5.773361111,39.9415,39.9415,16.9,888.4803149977798,33.029007992482526,260.0,23.831114472364632,0.0032303370786516852,0.018999858361162473,1.9229656649114437,0.5820772192607656,6.350524528900993,63.51364831562955,18.59,21.7012155147657,19242.3343,150.0,6,22.0,3.25,7.0,3.0,6.8631082525396465,52.43,150.0,7.0,8.3,3.5,365.8929,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True
ESP_RIN,2,kmeans_minmax_3,-6.016666666666667,40.60027777777778,40.60027777777778,11.306470465901596,834.0268537083585,39.14429914814453,1200.0,13.396400352733686,0.0,0.013540247736572185,0.369508685501354,0.3220267043478694,28.84596123156229,14.464158523102657,19.106470465901594,20.048588573460986,8062.6770000000015,30.0,8,1975.0,4.62,7.4,1.0,6.8631082525396465,24.33,40.0,13.0,8.3,3.5,92.5832672899999,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
ESP_RON_PIL,0,kmeans_minmax_3,-5.019568,36.692881,36.692881,8.06080443951825,925.3623809158134,51.23594488909135,1734.0,11.68908257911752,0.02405193736923077,0.008701567124896888,0.7909829234009801,0.3033634205666655,46.003381911825734,23.334517635185257,19.33180443951825,24.550057102714263,3757.2930000000006,46.15,10,1054.0,7.24,2.6,1.0,6.8631082525396465,20.1,40.0,9.3,8.3,10.05,317.3,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
ESP_SAN_A2_45I,0,kmeans_minmax_3,-5.797067,37.249105,37.249105,18.5,598.1261450362572,20.986882281973937,49.0,7.252356905926366,0.0,0.030878305267216206,0.6100446343059046,0.18960853870767344,1.281075727131393,12.80293492692786,18.8185,15.637650738135106,8062.6770000000015,7.0,3,1667.0,5.14,12.3,0.0,6.6531426667053415,7.26,7.0,13.0,4.93,3.5,32.8,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
ESP_SAN_A_45I,0,kmeans_minmax_3,-5.797067,37.249105,37.249105,18.5,598.1261450362572,20.986882281973937,49.0,10.146374303938442,0.07600000000000001,0.030878305267216206,0.19714004142776578,0.26527089467684123,1.281075727131393,4.137354842507985,18.8185,15.637650738135106,8062.6770000000015,8.0,3,1667.0,5.86,12.3,0.0,6.0501608333073085,6.9,8.0,13.0,6.18,3.45,37.39,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
ESP_SAN_B2_100,0,kmeans_minmax_3,-5.797067,37.249105,37.249105,18.5,598.1261450362572,20.986882281973937,49.0,8.061607359316618,0.0,0.030878305267216206,0.4921919505878616,0.21076590836090459,1.281075727131393,10.329574527122583,18.8185,15.637650738135106,8062.6770000000015,7.0,3,1667.0,5.14,12.3,0.0,7.259526813153029,7.9,7.0,13.0,5.51,3.5,40.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
ESP_SAN_B_100,0,kmeans_minmax_3,-5.797067,37.249105,37.249105,18.5,598.1261450362572,20.986882281973937,49.0,10.193155218843605,0.0760708446866485,0.030878305267216206,0.19165873519471993,0.26649395374986173,1.281075727131393,4.022319313843602,18.8185,15.637650738135106,8062.6770000000015,8.0,3,1667.0,5.86,12.3,0.0,4.636144019741684,7.0,8.0,13.0,8.3,3.5,38.48,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
