cluster,fold,test_site,train_samples,test_samples,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
1,14,AUS_MAR_MSD_MOD.parquet,1570996,61524,1.5576593258794655,17.036904952600967,0.7870283530410139,8.413090291195362,0.9368086741709657,0.22268652115063847
1,15,AUS_MAR_MSW_MOD.parquet,1583542,48978,1.5588864983542243,11.305593142404506,0.7844965522720753,6.554648914638474,0.948109147234246,0.4937124573249173
1,16,AUS_MAR_UBD.parquet,1617324,15196,1.7120561732281887,7.336784895917375,0.8473300198556344,5.364490284865888,0.947248769802998,0.3783501555292629
1,17,AUS_MAR_UBW.parquet,1605264,27256,1.749140413363575,9.227104490535362,0.8549914501092865,5.884686301807569,0.9459350111159831,-1.225441859167443
1,18,BRA_CAM.parquet,1601044,31476,1.748967300417252,3.196660174733024,0.8596075768690856,1.9348714026056586,0.9464690635524334,0.4215421373892021
1,19,BRA_SAN.parquet,1593121,39399,1.7571403740635492,2.9250066414339364,0.8702584717976404,1.4897195672411983,0.9462569719202889,0.2519518440827091
1,20,CHN_YUN_YUN.parquet,1564952,67568,1.7909700169385216,3.603306100846573,0.8892220431532153,3.113458940207066,0.945023287683123,-86.65082612126994
1,21,CRI_TAM_TOW.parquet,1345700,286820,1.8096809689783209,3.0277814789868147,0.8829716638661357,2.4139697597142353,0.9506721978715373,-1.3757645151173525
1,22,IDN_JAM_OIL.parquet,1624238,8282,1.7682889690514756,4.630477304059013,0.8692138159090342,3.7037883199596653,0.9447653292579157,-215.8824433794147
1,23,IDN_JAM_RUB.parquet,1603419,29101,1.760785814385578,5.732974902695206,0.8675499084154572,2.7691757389198295,0.9454229479325478,0.0014794192300640052
1,24,MDG_SEM_TAL.parquet,1610782,21738,1.762265330285178,0.6889849141705854,0.8725721607253584,0.5165960804305505,0.9455159512423281,-1.2354772076993594
1,25,MDG_YOU_SHO.parquet,1622500,10020,1.7639805614697754,0.7386274095208687,0.8698709523159878,0.6844414628413384,0.945083136591992,-3.5208674135955516
1,26,NZL_HUA_HUA.parquet,916470,716050,2.1297597650228726,15.000571650226856,1.0979655566677413,11.764250398440957,0.9513160347789019,-79.59144059608516
1,27,ZAF_FRA_FRA.parquet,1608469,24051,1.7381648316250249,6.0539535204357415,0.8568067168447768,5.106842190424845,0.946939808540277,-1.0696284713612751
2,1,AUS_WOM.parquet,8746170,286604,2.703075443416681,9.204642162701385,1.0495909703813928,4.474493792682002,0.9815710738854188,0.10017159165667455
2,2,AUT_PAT_FOR.parquet,9016691,16083,2.9288991647661278,2.4302738761389366,1.068680873497089,1.6687706523814367,0.9778813670061304,-0.664284183379086
2,3,AUT_PAT_KRU.parquet,9017602,15172,2.478466126577884,37.16488352632734,1.0381169257785416,25.899434624810798,0.9840680115840007,-0.8771407808868732
2,4,AUT_PAT_TRE.parquet,9019940,12834,2.724064897475306,10.37338605642657,1.0580698514497802,7.827742801890328,0.9808601751625522,-15.630478334193995
2,5,AUT_TSC.parquet,8992245,40529,3.0288630512865793,1.7360121819807282,1.0689235772335244,1.1867253408540042,0.9764086283220305,-0.06580875536444264
2,6,CAN_TUR_P39_PRE.parquet,8657316,375458,2.722302842363866,3.965878186965211,1.072184848481752,1.9473306652920412,0.9816094654450516,0.27572240416186755
