site,cluster,cluster_method,longitude,latitude,latitude_abs,mean_annual_temp,mean_annual_precip,aridity_index,elevation,seasonal_temp_range,seasonal_precip_range,temp_precip_ratio,seasonality_index,climate_continentality,elevation_latitude_ratio,aridity_seasonality,temp_elevation_ratio,precip_latitude_ratio,climate_zone_code_0,climate_zone_code_1,climate_zone_code_2,biome_code_11.0,biome_code_15.0,igbp_class_code_1,igbp_class_code_2,igbp_class_code_3,igbp_class_code_4,igbp_class_code_5,igbp_class_code_8,igbp_class_code_9,igbp_class_code_11,leaf_habit_code_1.0,leaf_habit_code_3.0,soil_texture_code_1.0,soil_texture_code_2.0,soil_texture_code_3.0,soil_texture_code_4.0,soil_texture_code_6.0,soil_texture_code_7.0,soil_texture_code_8.0,soil_texture_code_9.0,soil_texture_code_12.0,species_functional_group_code_0,species_functional_group_code_1,species_functional_group_code_2,species_functional_group_code_3,species_functional_group_code_4,koppen_geiger_code_encoded_0
AUS_MAR_MSW_MOD,1,kmeans_minmax_9,145.572,-37.649,37.649,13.527964974653184,1164.393680753294,49.48977448783616,261.0,11.742370341191092,0.11128010139416986,0.01160806446617155,0.14216342199612228,0.3038208062612511,6.75308546146084,7.035635695007178,15.224464974653184,30.127394777440397,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_MAR_UBD,1,kmeans_minmax_9,145.565,-37.691,37.691,13.101644903007536,1282.168534783906,55.50117925226113,303.0,12.02609885589688,0.3944525547445253,0.01021038511142571,0.13194734196181793,0.31082419311718174,7.831278591920602,7.323233078082254,15.071144903007536,33.13867656002444,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_MAR_UBW,1,kmeans_minmax_9,145.572,-37.888,37.888,13.668635409075316,1112.7457818178025,47.01351652031194,336.0,11.936976408180842,0.19000000000000128,0.012272670866385706,0.14516263586395867,0.3069578381038069,8.64019749022835,6.824605979322247,15.852635409075315,28.61411699798916,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_WOM,1,kmeans_minmax_9,144.0944,-37.4222,37.4222,10.917803669211503,1023.8291743244558,48.945347729379904,705.0,11.68908257911752,0.016804864566058595,0.010653291243790237,0.1640105724452372,0.30422731075049114,18.348767119009324,8.027554499626788,15.500303669211503,26.64681289266247,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUT_PAT_FOR,2,kmeans_minmax_9,11.45194444,47.21027778,47.21027778,1.8686732673635589,1258.8781447324286,106.0673014054644,1950.0,5.984289182442671,0.05756880733944954,0.0014832174644639348,0.7941528443942203,0.12412890897976218,40.447806770550415,84.23364910836864,14.543673267363557,26.11223586964424,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
AUT_PAT_KRU,2,kmeans_minmax_9,11.45194444,47.21027778,47.21027778,1.8686732673635589,1258.8781447324286,106.0673014054644,2180.0,8.1366828356986,0.06400550584996559,0.0014832174644639348,0.4752025065735968,0.1687748590213288,45.218573722974305,50.403447493373875,16.03867326736356,26.11223586964424,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
AUT_PAT_TRE,2,kmeans_minmax_9,11.45194444,47.21027778,47.21027778,1.8686732673635589,1258.8781447324286,106.0673014054644,2110.0,4.791201445780811,0.02708883025505717,0.0014832174644639348,0.9741354780106173,0.09938132834755078,43.7666011722366,103.32392135590828,15.583673267363558,26.11223586964424,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
AUT_TSC,6,kmeans_minmax_9,10.83888888888889,47.23333333333333,47.23333333333333,8.512877141121,694.3816641424069,37.50803610099258,750.0,10.60136551724138,0.01103448275862069,0.012242021295772407,0.168148069961467,0.2197933417534495,15.549412577747065,6.30690387842693,13.387877141121,14.396302642897172,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
BRA_CAM,8,kmeans_minmax_9,-45.52,-22.69,22.69,15.676624187855452,1811.4637410083792,70.54913947235971,2000.0,11.68908257911752,0.02405193736923077,0.00864934499552175,0.7909829234009801,0.3033634205666655,84.42380751371887,23.334517635185257,28.676624187855452,76.46533309448624,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
BRA_SAN,8,kmeans_minmax_9,-45.1833333333333,-23.2833333333333,23.2833333333333,17.66846184905394,1520.4270035396785,54.95162730166968,1000.0,7.677305022444289,0.09023684210526317,0.011613085483527867,0.5405002385267881,0.3161553200732038,41.180507892930734,29.70136766398762,24.16846184905394,62.61195621989076,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
