site,start_date,end_date,duration_days,total_records
USA_SWH,2013-06-06,2013-09-24,109,30960
ESP_SAN_A2_45I,2013-06-11,2013-10-20,130,12716
ESP_SAN_B2_100,2013-06-11,2013-10-20,130,4178
IDN_JAM_RUB,2013-06-12,2014-01-22,223,29101
IDN_JAM_OIL,2013-07-02,2013-09-30,89,8282
USA_NWH,2013-07-26,2013-10-16,81,20430
ZAF_WEL_SOR,2013-11-16,2014-11-11,359,17286
GUF_GUY_GUY,2014-01-01,2016-06-07,887,46700
ESP_SAN_B_100,2014-04-20,2014-11-16,209,19714
ESP_SAN_A_45I,2014-04-20,2014-11-16,209,20014
HUN_SIK,2014-05-22,2015-11-18,545,24321
CRI_TAM_TOW,2015-01-01,2016-08-01,577,286820
COL_MAC_SAF_RAD,2015-01-14,2015-01-26,12,915
ESP_MAJ_MAI,2015-01-29,2018-05-17,1204,75082
ZAF_FRA_FRA,2015-02-02,2016-02-02,364,24051
ESP_MAJ_NOR_LM1,2015-02-04,2018-05-17,1198,59993
MDG_YOU_SHO,2015-02-28,2015-06-14,105,10020
ITA_TOR,2015-03-03,2016-12-31,668,46630
CHN_HOR_AFF,2015-03-26,2015-10-19,206,49696
MDG_SEM_TAL,2015-05-06,2015-09-30,146,21738
NLD_SPE_DOU,2015-06-18,2015-08-31,73,29587
ZAF_RAD,2015-09-30,2016-06-30,273,15540
ZAF_SOU_SOU,2015-09-30,2016-06-30,273,10296
RUS_CHE_LOW,2016-07-01,2016-08-29,59,21499
