schema,K,features_used,standardization,source
hierarchical_complete_8,8.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_average_3,3.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_average_4,4.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_average_5,5.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_average_6,6.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_average_7,7.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_average_8,8.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_single_3,3.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_single_4,4.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_single_5,5.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_single_6,6.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_single_7,7.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_single_8,8.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
gmm_3,3.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
gmm_4,4.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
gmm_5,5.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
gmm_6,6.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
gmm_7,7.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
gmm_8,8.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
dbscan_eps2.0_min3,2.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
dbscan_eps2.5_min3,3.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
advanced_ecosystem_interpretations_20250722_112311,,,,ecosystem/evaluation/clustering_results\inital\advanced_ecosystem_interpretations_20250722_112311.json
kmeans_robust_5,5.0,,robust,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_robust_6,6.0,,robust,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_robust_7,7.0,,robust,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_robust_8,8.0,,robust,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
kmeans_robust_9,9.0,,robust,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
